year,division,income,weights
2014,Mountain,71063.95756,0.000214452
2014,Mountain,47042.3381,0.000214452
2014,Mountain,51045.94135,0.000214452
2014,Mountain,130117.1054,0.000214452
2014,Mountain,33630.26724,0.000214452
2014,Mountain,110099.0892,0.000214452
2014,Mountain,78070.26324,0.000214452
2014,Mountain,71063.95756,0.000214452
2014,Mountain,55049.54459,0.000214452
2014,Mountain,39455.50996,0.000214452
2014,Mountain,222900.6105,0.000214452
2014,Mountain,43238.91502,0.000214452
2014,Mountain,3202.882594,0.000214452
2014,Mountain,45390.85177,0.000214452
2014,Mountain,5905.314783,0.000214452
2014,Mountain,45390.85177,0.000214452
2014,Mountain,92633.37003,0.000214452
2014,Mountain,107096.3867,0.000214452
2014,Mountain,133219.8979,0.000214452
2014,Mountain,45390.85177,0.000214452
2014,Mountain,12010.80973,0.000214452
2014,Mountain,43238.91502,0.000214452
2014,Mountain,101090.9819,0.000214452
2014,Mountain,67560.80472,0.000214452
2014,Mountain,101090.9819,0.000214452
2014,Mountain,25022.52027,0.000214452
2014,Mountain,51045.94135,0.000214452
2014,Mountain,61054.94945,0.000214452
2014,Mountain,101090.9819,0.000214452
2014,Mountain,92112.90161,0.000214452
2014,Mountain,47042.3381,0.000214452
2014,Mountain,43238.91502,0.000214452
2014,Mountain,33229.90692,0.000214452
2014,Mountain,71063.95756,0.000214452
2014,Mountain,47042.3381,0.000214452
2014,Mountain,21619.45751,0.000214452
2014,Mountain,398558.7028,0.000214452
2014,Mountain,120908.8179,0.000214452
2014,Mountain,33229.90692,0.000214452
2014,Mountain,85076.56891,0.000214452
2014,Mountain,47042.3381,0.000214452
2014,Mountain,85076.56891,0.000214452
2014,Mountain,7706.936243,0.000214452
2014,Mountain,7706.936243,0.000214452
2014,Mountain,101090.9819,0.000214452
2014,Mountain,31027.92513,0.000214452
2014,Mountain,12010.80973,0.000214452
2014,Mountain,61054.94945,0.000214452
2014,Mountain,43238.91502,0.000214452
2014,Mountain,135121.6094,0.000214452
2014,Mountain,39635.6721,0.000214452
2014,Mountain,3202.882594,0.000214452
2014,Mountain,43238.91502,0.000214452
2014,Mountain,31027.92513,0.000214452
2014,Mountain,3202.882594,0.000214452
2014,Mountain,190171.154,0.000214452
2014,Mountain,33229.90692,0.000214452
2014,Mountain,45540.98689,0.000214452
2014,Mountain,55149.63467,0.000214452
2014,Mountain,12010.80973,0.000214452
2014,Mountain,12010.80973,0.000214452
2014,Mountain,1000.900811,0.000214452
2014,Mountain,190171.154,0.000214452
2014,Mountain,222900.6105,0.000214452
2014,Mountain,12010.80973,0.000214452
2014,Mountain,94084.67621,0.000214452
2014,Mountain,61054.94945,0.000214452
2014,Mountain,191172.0548,0.000214452
2014,Mountain,110099.0892,0.000214452
2014,Mountain,11109.999,0.000214452
2014,Mountain,31027.92513,0.000214452
2014,Mountain,130117.1054,0.000214452
2014,Mountain,47042.3381,0.000214452
2014,Mountain,191172.0548,0.000214452
2014,Mountain,180162.1459,0.000214452
2014,Mountain,180162.1459,0.000214452
